group	n_files	size_bytes	size_mb	size_gb	human_size
results/01_qc	25	304396845	290.295	0.283	290.3 MB
results/02_snp_panels	60	39681740	37.843	0.037	37.84 MB
results/06_rf_corroboration	29	1427467	1.361	0.001	1.36 MB
results/05_loo_validation	52	478092	0.456	0	466.9 KB
results/04_origin_assignment	21	162578	0.155	0	158.8 KB
results/07_authority_report	7	125167	0.119	0	122.2 KB
steps/07_authority_facing_report	2	53558	0.051	0	52.3 KB
steps/05_full_panel_loo_validation	2	45211	0.043	0	44.2 KB
steps/04_hierarchical_origin_assignment	2	44535	0.042	0	43.5 KB
steps/06_random_forest_corroboration	2	37741	0.036	0	36.9 KB
steps/02_snp_panel_discovery_and_ranking	2	35989	0.034	0	35.1 KB
data/000_input_data	2	32718	0.031	0	32 KB
steps/01_metadata_snapshot_and_ortholog_qc	2	31685	0.03	0	30.9 KB
steps/03_mutual_information_snp_diagnostics	2	14646	0.014	0	14.3 KB
steps/00_convert_phylip_to_fasta	2	13874	0.013	0	13.5 KB
results/03_mi_diagnostics	4	8032	0.008	0	7.8 KB
Rplots.pdf	1	3448	0.003	0	3.4 KB
README.md	1	3191	0.003	0	3.1 KB
.RData	1	2959	0.003	0	2.9 KB
.gitignore	1	2016	0.002	0	2 KB
docs/manuscript_pipeline_description.md	1	1640	0.002	0	1.6 KB
docs/publication_step_renaming_map.tsv	1	1182	0.001	0	1.2 KB
.Rhistory	1	1017	0.001	0	1017 B
check_github_upload_size.R	1	1003	0.001	0	1003 B
run_public_pipeline.R	1	1003	0.001	0	1003 B
docs/diagnostic_extension_note.md	1	698	0.001	0	698 B
docs/publication_release_checklist.md	1	657	0.001	0	657 B
results/README_results.md	1	527	0.001	0	527 B
data/README_data.md	1	482	0	0	482 B
CITATION.cff	1	427	0	0	427 B
LICENSE_PLACEHOLDER.txt	1	333	0	0	333 B
.gitattributes	1	66	0	0	66 B
docs/.gitkeep	1	0	0	0	0 B
