full_path	relative_path	size_bytes	modified_time	extension	top_level	second_level	excluded	include_in_github_candidate	size_mb	size_gb	human_size
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/sample_missingness.tsv	results/01_qc/sample_missingness.tsv	289436859	2026-05-18 14:03:47.318434	tsv	results	results/01_qc	FALSE	TRUE	276.028	0.27	276.03 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/sample_missingness.rds	results/01_qc/sample_missingness.rds	9261123	2026-05-18 14:04:00.446619	rds	results	results/01_qc	FALSE	TRUE	8.832	0.009	8.83 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/snp_map.tsv	results/02_snp_panels/snp_map.tsv	8474606	2026-05-18 15:29:26.528959	tsv	results	results/02_snp_panels	FALSE	TRUE	8.082	0.008	8.08 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.tsv	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.tsv	3285936	2026-05-18 15:29:36.461603	tsv	results	results/02_snp_panels	FALSE	TRUE	3.134	0.003	3.13 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_mi.tsv	results/02_snp_panels/panels/P3_subregion_within_asia/snp_mi.tsv	3173643	2026-05-18 15:30:01.271408	tsv	results	results/02_snp_panels	FALSE	TRUE	3.027	0.003	3.03 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_mi.tsv	results/02_snp_panels/panels/P2_subregion_within_africa/snp_mi.tsv	3071553	2026-05-18 15:29:48.577984	tsv	results	results/02_snp_panels	FALSE	TRUE	2.929	0.003	2.93 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_map.tsv	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_map.tsv	2864196	2026-05-18 14:35:58.349716	tsv	results	results/02_snp_panels	FALSE	TRUE	2.732	0.003	2.73 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_map.tsv	results/02_snp_panels/panels/P3_subregion_within_asia/snp_map.tsv	2810879	2026-05-18 15:29:25.555002	tsv	results	results/02_snp_panels	FALSE	TRUE	2.681	0.003	2.68 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_map.tsv	results/02_snp_panels/panels/P2_subregion_within_africa/snp_map.tsv	2799827	2026-05-18 14:57:00.741264	tsv	results	results/02_snp_panels	FALSE	TRUE	2.67	0.003	2.67 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/per_og_stats.tsv	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/per_og_stats.tsv	2404350	2026-05-18 14:35:58.23093	tsv	results	results/02_snp_panels	FALSE	TRUE	2.293	0.002	2.29 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/per_og_stats.tsv	results/02_snp_panels/panels/P3_subregion_within_asia/per_og_stats.tsv	2353308	2026-05-18 15:29:25.428673	tsv	results	results/02_snp_panels	FALSE	TRUE	2.244	0.002	2.24 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/per_og_stats.tsv	results/02_snp_panels/panels/P2_subregion_within_africa/per_og_stats.tsv	2345196	2026-05-18 14:57:00.614908	tsv	results	results/02_snp_panels	FALSE	TRUE	2.237	0.002	2.24 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/og_qc.tsv	results/01_qc/og_qc.tsv	2096136	2026-05-18 14:03:45.431501	tsv	results	results/01_qc	FALSE	TRUE	1.999	0.002	2 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_by_og_phy.tsv	results/01_qc/label_consistency_by_og_phy.tsv	1892334	2026-05-18 13:59:59.569403	tsv	results	results/01_qc	FALSE	TRUE	1.805	0.002	1.8 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_matrix.rds	results/02_snp_panels/panels/P2_subregion_within_africa/snp_matrix.rds	956813	2026-05-18 14:57:01.882904	rds	results	results/02_snp_panels	FALSE	TRUE	0.912	0.001	934.4 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_matrix.rds	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_matrix.rds	888945	2026-05-18 14:35:59.281199	rds	results	results/02_snp_panels	FALSE	TRUE	0.848	0.001	868.1 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_matrix.rds	results/02_snp_panels/panels/P3_subregion_within_asia/snp_matrix.rds	801369	2026-05-18 15:29:26.444935	rds	results	results/02_snp_panels	FALSE	TRUE	0.764	0.001	782.6 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/snp_map.rds	results/02_snp_panels/snp_map.rds	790523	2026-05-18 15:29:26.94208	rds	results	results/02_snp_panels	FALSE	TRUE	0.754	0.001	772 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_metadata_not_seen_phy.tsv	results/01_qc/label_consistency_metadata_not_seen_phy.tsv	555704	2026-05-18 13:59:59.64395	tsv	results	results/01_qc	FALSE	TRUE	0.53	0.001	542.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_labels_not_in_metadata_phy.tsv	results/01_qc/label_consistency_labels_not_in_metadata_phy.tsv	431852	2026-05-18 13:59:59.628002	tsv	results	results/01_qc	FALSE	TRUE	0.412	0	421.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.rds	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.rds	373413	2026-05-18 15:29:36.63596	rds	results	results/02_snp_panels	FALSE	TRUE	0.356	0	364.7 KB
