og	label	allowed_extra
OG1	Bdors	TRUE
OG1	Blati	TRUE
OG10	Bdors	TRUE
OG10	Blati	TRUE
OG100	Bdors	TRUE
OG100	Blati	TRUE
OG1000	Bdors	TRUE
OG1000	Blati	TRUE
OG10000	Bdors	TRUE
OG10000	Blati	TRUE
OG10001	Bdors	TRUE
OG10001	Blati	TRUE
OG10002	Bdors	TRUE
OG10002	Blati	TRUE
OG10003	Bdors	TRUE
OG10003	Blati	TRUE
OG10004	Bdors	TRUE
OG10004	Blati	TRUE
OG10005	Bdors	TRUE
OG10005	Blati	TRUE
OG10006	Bdors	TRUE
OG10006	Blati	TRUE
OG10007	Bdors	TRUE
OG10007	Blati	TRUE
OG10008	Bdors	TRUE
OG10008	Blati	TRUE
OG10009	Bdors	TRUE
OG10009	Blati	TRUE
OG1001	Bdors	TRUE
OG1001	Blati	TRUE
OG10010	Bdors	TRUE
OG10010	Blati	TRUE
OG10011	Bdors	TRUE
OG10011	Blati	TRUE
OG10012	Bdors	TRUE
OG10012	Blati	TRUE
OG10013	Bdors	TRUE
OG10013	Blati	TRUE
OG10014	Bdors	TRUE
OG10014	Blati	TRUE
OG10015	Bdors	TRUE
OG10015	Blati	TRUE
OG10016	Bdors	TRUE
OG10016	Blati	TRUE
OG10017	Bdors	TRUE
OG10017	Blati	TRUE
OG10018	Bdors	TRUE
OG10018	Blati	TRUE
OG10019	Bdors	TRUE
OG10019	Blati	TRUE
OG1002	Bdors	TRUE
OG1002	Blati	TRUE
OG10020	Bdors	TRUE
OG10020	Blati	TRUE
OG10021	Bdors	TRUE
OG10021	Blati	TRUE
OG10022	Bdors	TRUE
OG10022	Blati	TRUE
OG10023	Bdors	TRUE
OG10023	Blati	TRUE
OG10024	Bdors	TRUE
OG10024	Blati	TRUE
OG10025	Bdors	TRUE
OG10025	Blati	TRUE
OG10026	Bdors	TRUE
OG10026	Blati	TRUE
OG10027	Bdors	TRUE
OG10027	Blati	TRUE
OG10028	Bdors	TRUE
OG10028	Blati	TRUE
OG10029	Bdors	TRUE
OG10029	Blati	TRUE
OG1003	Bdors	TRUE
OG1003	Blati	TRUE
OG10030	Bdors	TRUE
OG10030	Blati	TRUE
OG10031	Bdors	TRUE
OG10031	Blati	TRUE
OG10032	Bdors	TRUE
OG10032	Blati	TRUE
OG10033	Bdors	TRUE
OG10033	Blati	TRUE
OG10034	Bdors	TRUE
OG10034	Blati	TRUE
OG10035	Bdors	TRUE
OG10035	Blati	TRUE
OG10036	Bdors	TRUE
OG10036	Blati	TRUE
OG10037	Bdors	TRUE
OG10037	Blati	TRUE
OG10038	Bdors	TRUE
OG10038	Blati	TRUE
OG10039	Bdors	TRUE
OG10039	Blati	TRUE
OG1004	Bdors	TRUE
OG1004	Blati	TRUE
OG10040	Bdors	TRUE
OG10040	Blati	TRUE
OG10041	Bdors	TRUE
OG10041	Blati	TRUE
OG10042	Bdors	TRUE
OG10042	Blati	TRUE
OG10043	Bdors	TRUE
OG10043	Blati	TRUE
OG10044	Bdors	TRUE
OG10044	Blati	TRUE
OG10045	Bdors	TRUE
OG10045	Blati	TRUE
OG10046	Bdors	TRUE
OG10046	Blati	TRUE
OG10047	Bdors	TRUE
OG10047	Blati	TRUE
OG10048	Bdors	TRUE
OG10048	Blati	TRUE
OG10049	Bdors	TRUE
OG10049	Blati	TRUE
OG1005	Bdors	TRUE
OG1005	Blati	TRUE
OG10050	Bdors	TRUE
OG10050	Blati	TRUE
OG10051	Bdors	TRUE
OG10051	Blati	TRUE
OG10052	Bdors	TRUE
OG10052	Blati	TRUE
OG10053	Bdors	TRUE
OG10053	Blati	TRUE
OG10054	Bdors	TRUE
OG10054	Blati	TRUE
OG10055	Bdors	TRUE
OG10055	Blati	TRUE
OG10056	Bdors	TRUE
OG10056	Blati	TRUE
OG10057	Bdors	TRUE
OG10057	Blati	TRUE
OG10058	Bdors	TRUE
OG10058	Blati	TRUE
OG10059	Bdors	TRUE
OG10059	Blati	TRUE
OG1006	Bdors	TRUE
OG1006	Blati	TRUE
OG10060	Bdors	TRUE
OG10060	Blati	TRUE
OG10061	Bdors	TRUE
OG10061	Blati	TRUE
OG10062	Bdors	TRUE
OG10062	Blati	TRUE
OG10063	Bdors	TRUE
OG10063	Blati	TRUE
OG10064	Bdors	TRUE
OG10064	Blati	TRUE
OG10065	Bdors	TRUE
OG10065	Blati	TRUE
OG10066	Bdors	TRUE
OG10066	Blati	TRUE
OG10067	Bdors	TRUE
OG10067	Blati	TRUE
OG10068	Bdors	TRUE
OG10068	Blati	TRUE
OG10069	Bdors	TRUE
OG10069	Blati	TRUE
OG1007	Bdors	TRUE
OG1007	Blati	TRUE
OG10070	Bdors	TRUE
OG10070	Blati	TRUE
OG10071	Bdors	TRUE
OG10071	Blati	TRUE
OG10072	Bdors	TRUE
OG10072	Blati	TRUE
OG10073	Bdors	TRUE
OG10073	Blati	TRUE
OG10074	Bdors	TRUE
OG10074	Blati	TRUE
OG10075	Bdors	TRUE
OG10075	Blati	TRUE
OG10076	Bdors	TRUE
OG10076	Blati	TRUE
OG10077	Bdors	TRUE
OG10077	Blati	TRUE
OG10078	Bdors	TRUE
OG10078	Blati	TRUE
OG10079	Bdors	TRUE
OG10079	Blati	TRUE
OG1008	Bdors	TRUE
OG1008	Blati	TRUE
OG10080	Bdors	TRUE
OG10080	Blati	TRUE
OG10081	Bdors	TRUE
OG10081	Blati	TRUE
OG10082	Bdors	TRUE
OG10082	Blati	TRUE
OG10083	Bdors	TRUE
OG10083	Blati	TRUE
OG10084	Bdors	TRUE
OG10084	Blati	TRUE
OG10085	Bdors	TRUE
OG10085	Blati	TRUE
OG10086	Bdors	TRUE
OG10086	Blati	TRUE
OG10087	Bdors	TRUE
OG10087	Blati	TRUE
OG10088	Bdors	TRUE
