og	sample_id
OG1	Bd_2023_1
OG10	ReuPie1
OG10	ReuPie4
OG10	Bd_2023_1
OG10	Bd_2023_3
OG100	ReuPie1
OG100	Bd_2023_1
OG1000	Bd_2023_1
OG10000	ReuPie1
OG10000	ReuPie4
OG10000	Bd_2023_1
OG10001	Bd_2023_1
OG10001	Bd_2023_2
OG10002	Bd_2023_1
OG10002	Bd_2023_2
OG10003	Bd_2023_1
OG10004	ReuPie4
OG10006	ReuPie1
OG10006	ReuPie4
OG10006	Bd_2023_1
OG10007	ReuPie1
OG10007	ReuPie4
OG10007	Bd_2023_1
OG10007	Bd_2023_2
OG10007	Bd_2023_3
OG10008	NGNS02
OG10008	ReuPie4
OG10008	Bd_2023_3
OG10009	ReuPie1
OG10009	ReuPie4
OG10009	Bd_2023_1
OG10009	Bd_2023_3
OG1001	ReuPie1
OG1001	ReuPie4
OG1001	Bd_2023_1
OG10012	ReuPie1
OG10012	ReuPie4
OG10012	Bd_2023_1
OG10013	ReuPie1
OG10014	Bd_2023_1
OG10015	ReuPie4
OG10015	Bd_2023_1
OG10016	ReuPie1
OG10016	ReuPie4
OG10016	Bd_2023_1
OG10016	Bd_2023_2
OG10017	ReuPie1
OG10017	ReuPie4
OG10017	Bd_2023_1
OG10017	Bd_2023_2
OG10018	ReuPie4
OG10018	Bd_2023_1
OG10018	Bd_2023_2
OG10019	ReuPie1
OG10019	ReuPie4
OG1002	ReuPie4
OG1002	Bd_2023_1
OG10020	ReuPie1
OG10020	ReuPie4
OG10020	Bd_2023_1
OG10022	NGNS02
OG10022	ReuPie1
OG10022	ReuPie4
OG10022	Bd_2023_1
OG10022	Bd_2023_2
OG10022	Bd_2023_3
OG10023	ReuPie1
OG10023	ReuPie4
OG10023	Bd_2023_1
OG10023	Bd_2023_2
OG10023	Bd_2023_3
OG10024	Bd_2023_1
OG10024	Bd_2023_2
OG10024	Bd_2023_3
OG10025	ReuPie1
OG10025	Bd_2023_1
OG10027	ReuPie1
OG10027	ReuPie4
OG10027	Bd_2023_2
OG10027	Bd_2023_3
OG10028	Bd_2023_1
OG10028	Bd_2023_2
OG10028	Bd_2023_3
OG10029	Bd_2023_1
OG1003	ReuPie4
OG1003	Bd_2023_1
OG1003	Bd_2023_2
OG10030	ReuPie4
OG10031	ReuPie4
OG10031	Bd_2023_1
OG10031	Bd_2023_2
OG10031	Bd_2023_3
OG10032	ReuPie1
OG10032	Bd_2023_1
OG10032	Bd_2023_3
OG10033	YNJH03
OG10033	ReuPie4
OG10033	Bd_2023_1
OG10034	ReuPie1
OG10034	ReuPie4
OG10034	Bd_2023_3
OG10035	ReuPie1
OG10035	ReuPie4
OG10035	Bd_2023_1
OG10035	Bd_2023_2
OG10035	Bd_2023_3
OG10036	ReuPie4
OG10036	Bd_2023_1
OG10036	Bd_2023_3
OG10037	ReuPie1
OG10037	Bd_2023_1
OG10037	Bd_2023_2
OG10037	Bd_2023_3
OG10038	ReuPie1
OG10038	ReuPie4
OG10038	Bd_2023_3
OG10039	ReuPie4
OG10039	Bd_2023_1
OG10039	Bd_2023_2
OG1004	ReuPie1
OG1004	ReuPie4
OG1004	Bd_2023_1
OG1004	Bd_2023_2
OG1004	Bd_2023_3
OG10040	ReuPie4
OG10040	Bd_2023_1
OG10040	Bd_2023_2
OG10041	ReuPie1
OG10041	ReuPie4
OG10041	Bd_2023_1
OG10042	ReuPie4
OG10043	ReuPie1
OG10043	ReuPie4
OG10043	Bd_2023_1
OG10044	ReuPie1
OG10044	ReuPie4
OG10044	Bd_2023_1
OG10045	ReuPie1
OG10045	ReuPie4
OG10045	Bd_2023_1
OG10045	Bd_2023_2
OG10045	Bd_2023_3
OG10046	ReuPie4
OG10046	Bd_2023_1
OG10046	Bd_2023_2
OG10046	Bd_2023_3
