sample_id	n_ogs_total	n_ogs_missing	n_ogs_seen	frac_ogs_seen
ComAnj1	11351	1	11350	0.999911902035063
ComAnj2	11351	2	11349	0.999823804070126
ComAnj3	11351	1	11350	0.999911902035063
ComAnj4	11351	0	11351	1
ComAnj5	11351	2	11349	0.999823804070126
ComGra1	11351	0	11351	1
ComGra2	11351	2	11349	0.999823804070126
ComGra3	11351	1	11350	0.999911902035063
ComGra6	11351	0	11351	1
ComGra5	11351	1	11350	0.999911902035063
ComMoh1	11351	0	11351	1
ComMoh2	11351	2	11349	0.999823804070126
ComMoh3	11351	2	11349	0.999823804070126
ComMoh4	11351	0	11351	1
ComMoh5	11351	1	11350	0.999911902035063
MadAmb1	11351	1	11350	0.999911902035063
MadAmb2	11351	0	11351	1
MadAmb3	11351	2	11349	0.999823804070126
MadAmb4	11351	2	11349	0.999823804070126
MadAmb5	11351	2	11349	0.999823804070126
MadMah1	11351	0	11351	1
MadMah2	11351	1	11350	0.999911902035063
MadMah3	11351	2	11349	0.999823804070126
MadMah4	11351	1	11350	0.999911902035063
MadMah5	11351	1	11350	0.999911902035063
MadMan1	11351	2	11349	0.999823804070126
MadMan2	11351	2	11349	0.999823804070126
MadMan3	11351	0	11351	1
MadMan4	11351	0	11351	1
MadMan5	11351	2	11349	0.999823804070126
MauLaS1	11351	0	11351	1
MauLaS2	11351	0	11351	1
MauLaS3	11351	0	11351	1
MauLaS4	11351	0	11351	1
MauLaS5	11351	1	11350	0.999911902035063
MayDem1	11351	1	11350	0.999911902035063
MayDem2	11351	1	11350	0.999911902035063
MayDem3	11351	1	11350	0.999911902035063
MayDem4	11351	1	11350	0.999911902035063
MayDem5	11351	0	11351	1
MaySad1	11351	1	11350	0.999911902035063
MaySad2	11351	1	11350	0.999911902035063
MaySad3	11351	1	11350	0.999911902035063
MaySad4	11351	1	11350	0.999911902035063
MaySad5	11351	1	11350	0.999911902035063
ReuBas1	11351	0	11351	1
ReuBas2	11351	1	11350	0.999911902035063
ReuBas3	11351	0	11351	1
ReuBas4	11351	0	11351	1
ReuBas5	11351	0	11351	1
ReuSte1	11351	2	11349	0.999823804070126
ReuSte2	11351	0	11351	1
ReuSte3	11351	0	11351	1
ReuSte4	11351	0	11351	1
ReuSte5	11351	11	11340	0.999030922385693
BDKG01	11351	0	11351	1
BDKG02	11351	0	11351	1
BDKG03	11351	0	11351	1
BDKG04	11351	0	11351	1
BDKG05	11351	0	11351	1
BIBJ01	11351	0	11351	1
BIBJ02	11351	1	11350	0.999911902035063
BIBJ03	11351	0	11351	1
BIBJ04	11351	1	11350	0.999911902035063
BIBJ05	11351	2	11349	0.999823804070126
CDKB01	11351	0	11351	1
CDKB02	11351	0	11351	1
CDKB03	11351	0	11351	1
CDKB04	11351	0	11351	1
CDKB05	11351	0	11351	1
CIBD01	11351	0	11351	1
CIBD02	11351	1	11350	0.999911902035063
CIBD03	11351	2	11349	0.999823804070126
CIBD04	11351	0	11351	1
CIBD05	11351	0	11351	1
ETMS01	11351	1	11350	0.999911902035063
ETMS02	11351	1	11350	0.999911902035063
ETMS03	11351	1	11350	0.999911902035063
ETMS04	11351	0	11351	1
ETMS05	11351	1	11350	0.999911902035063
FJZZ01	11351	0	11351	1
FJZZ02	11351	0	11351	1
FJZZ03	11351	0	11351	1
FJZZ04	11351	0	11351	1
FJZZ05	11351	0	11351	1
GDGZ01	11351	0	11351	1
GDGZ02	11351	0	11351	1
GDGZ03	11351	0	11351	1
GDGZ04	11351	0	11351	1
GDGZ05	11351	0	11351	1
GHND01	11351	1	11350	0.999911902035063
GHND02	11351	0	11351	1
GHND03	11351	1	11350	0.999911902035063
GHND04	11351	1	11350	0.999911902035063
GHND05	11351	2	11349	0.999823804070126
GXNN01	11351	0	11351	1
GXNN02	11351	0	11351	1
GXNN03	11351	0	11351	1
GXNN04	11351	0	11351	1
GXNN05	11351	0	11351	1
GZDY01	11351	0	11351	1
GZDY02	11351	0	11351	1
GZDY03	11351	0	11351	1
GZDY04	11351	0	11351	1
GZDY05	11351	0	11351	1
HBWH01	11351	0	11351	1
HBWH02	11351	0	11351	1
HBWH03	11351	0	11351	1
HBWH04	11351	0	11351	1
HBWH05	11351	0	11351	1
HNDZ01	11351	0	11351	1
HNDZ02	11351	0	11351	1
HNDZ03	11351	0	11351	1
