sample_id	is_reference	macroregion	population	country	site	collection	sample_accession	organism	collection_date	geo_loc_name	macroregion_3	subregion
ComAnj1	TRUE	Comoros	Anjouan	Anjouan	Mutsamudu	Pablo_IO	B1_L1_301X01	Bactrocera dorsalis		Anjouan: Mutsamudu	Africa	E_Africa
ComAnj2	TRUE	Comoros	Anjouan	Anjouan	Mutsamudu	Pablo_IO	B2_L4_302X02	Bactrocera dorsalis		Anjouan: Mutsamudu	Africa	E_Africa
ComAnj3	TRUE	Comoros	Anjouan	Anjouan	Mutsamudu	Pablo_IO	B3_L1_303X03	Bactrocera dorsalis		Anjouan: Mutsamudu	Africa	E_Africa
ComAnj4	TRUE	Comoros	Anjouan	Anjouan	Mutsamudu	Pablo_IO	B4_L1_304X04	Bactrocera dorsalis		Anjouan: Mutsamudu	Africa	E_Africa
ComAnj5	TRUE	Comoros	Anjouan	Anjouan	Mutsamudu	Pablo_IO	B5_L4_305X05	Bactrocera dorsalis		Anjouan: Mutsamudu	Africa	E_Africa
ComGra1	TRUE	Comoros	Grande_Comore	Grande_Comore	Mandzissani	Pablo_IO	B16_L4_318X18	Bactrocera dorsalis		Grande Comore: Mandzissani	Africa	E_Africa
ComGra2	TRUE	Comoros	Grande_Comore	Grande_Comore	Mandzissani	Pablo_IO	B17_L1_335X35	Bactrocera dorsalis		Grande Comore: Mandzissani	Africa	E_Africa
ComGra3	TRUE	Comoros	Grande_Comore	Grande_Comore	Mandzissani	Pablo_IO	B18_L4_336X36	Bactrocera dorsalis		Grande Comore: Mandzissani	Africa	E_Africa
ComGra6	TRUE	Comoros	Grande_Comore	Grande_Comore	Mandzissani	Pablo_IO	B19_L1_337X37merged	Bactrocera dorsalis		Grande Comore: Mandzissani	Africa	E_Africa
ComGra5	TRUE	Comoros	Grande_Comore	Grande_Comore	Mandzissani	Pablo_IO	B20_L1_338X38	Bactrocera dorsalis		Grande Comore: Mandzissani	Africa	E_Africa
