panel_id	group_col	K	sample_id	top_group	top_posterior	second_group	second_posterior	posterior_gap	n_snps_used	confidence	status	note
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_7						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_4						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_5						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_6						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_1						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_2						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2023_3						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2024_1						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2024_2						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2024_3						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	Bd_2024_4						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_1						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_2						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_3						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_4						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_5						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_6						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_7						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_11						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_12						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_13						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	1	FAVV_14						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_7						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_4						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_5						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_6						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_1						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_2						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2023_3						0	Low	too_few_snps	Need >= 200; have 0
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2024_1						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2024_2						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2024_3						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	Bd_2024_4						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_1						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_2						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_3						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_4						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_5						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_6						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_7						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_11						1	Low	too_few_snps	Need >= 200; have 1
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_12						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_13						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	2	FAVV_14						2	Low	too_few_snps	Need >= 200; have 2
P1_macroregion_africa_vs_asia	macroregion_3	3	Bd_2023_7						3	Low	too_few_snps	Need >= 200; have 3
