panel_id	sample_id	final_group	stable_from_K	agreement_frac	tail_agreement_frac	tail_fraction	n_K_total_tested	n_K_usable_for_stability	n_K_available	maxK_used	maxK_top_posterior	maxK_second_posterior	maxK_gap	maxK_confidence	maxK_status	maxK_n_snps_used	status
P1_macroregion_africa_vs_asia	Bd_2023_7	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11081	ok
P1_macroregion_africa_vs_asia	Bd_2023_4	Asia	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11079	ok
P1_macroregion_africa_vs_asia	Bd_2023_5	Asia	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11080	ok
P1_macroregion_africa_vs_asia	Bd_2023_6	Asia	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11073	ok
P1_macroregion_africa_vs_asia	Bd_2023_1	Asia	5000	1	1	0.5	16	3	3	11086	1	1.17148920508671e-83	1	High	ok	687	ok
P1_macroregion_africa_vs_asia	Bd_2023_2	Africa	1000	1	1	0.5	16	5	5	11086	1	0	1	High	ok	3292	ok
P1_macroregion_africa_vs_asia	Bd_2023_3	Asia	1000	1	1	0.5	16	5	5	11086	1	0	1	High	ok	2883	ok
P1_macroregion_africa_vs_asia	Bd_2024_1	Asia	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11069	ok
P1_macroregion_africa_vs_asia	Bd_2024_2	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11064	ok
P1_macroregion_africa_vs_asia	Bd_2024_3	Asia	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11075	ok
P1_macroregion_africa_vs_asia	Bd_2024_4	Asia	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11079	ok
P1_macroregion_africa_vs_asia	FAVV_1	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11073	ok
P1_macroregion_africa_vs_asia	FAVV_2	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11069	ok
P1_macroregion_africa_vs_asia	FAVV_3	Africa	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11078	ok
P1_macroregion_africa_vs_asia	FAVV_4	Africa	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11070	ok
P1_macroregion_africa_vs_asia	FAVV_5	Africa	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11071	ok
P1_macroregion_africa_vs_asia	FAVV_6	Africa	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11074	ok
P1_macroregion_africa_vs_asia	FAVV_7	Africa	200	1	1	0.5	16	7	7	11086	1	0	1	High	ok	11075	ok
P1_macroregion_africa_vs_asia	FAVV_11	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11076	ok
P1_macroregion_africa_vs_asia	FAVV_12	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11070	ok
P1_macroregion_africa_vs_asia	FAVV_13	Africa	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11063	ok
P1_macroregion_africa_vs_asia	FAVV_14	Asia	500	1	1	0.5	16	6	6	11086	1	0	1	High	ok	11066	ok
