panel_id	group_col	K	sample_id	top_group	top_posterior	second_group	second_posterior	posterior_gap	n_snps_used	confidence	status	note
P2_subregion_within_africa	subregion	1	Bd_2023_7						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	Bd_2024_2						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_1						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_2						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_3						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_4						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_5						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_6						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_7						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_11						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_12						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	1	FAVV_13						1	Low	too_few_snps	Need >= 300; have 1
P2_subregion_within_africa	subregion	2	Bd_2023_7						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	Bd_2024_2						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_1						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_2						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_3						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_4						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_5						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_6						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_7						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_11						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_12						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	2	FAVV_13						2	Low	too_few_snps	Need >= 300; have 2
P2_subregion_within_africa	subregion	3	Bd_2023_7						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	Bd_2024_2						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_1						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_2						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_3						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_4						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_5						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_6						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_7						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_11						3	Low	too_few_snps	Need >= 300; have 3
P2_subregion_within_africa	subregion	3	FAVV_12						3	Low	too_few_snps	Need >= 300; have 3
