sample_id	macroregion_call	macroregion_confidence	macroregion_reason	macroregion_maxK_used	macroregion_maxK_post	macroregion_maxK_gap	macroregion_agreement	macroregion_tail_agreement	macroregion_tail_fraction	macroregion_stable_from_K	macroregion_nK	macroregion_nK_total_tested	macroregion_nK_usable_for_stability	macroregion_maxK_nsnps	subregion_call	subregion_confidence	subregion_reason	subregion_panel	subregion_maxK_used	subregion_maxK_post	subregion_maxK_gap	subregion_agreement	subregion_tail_agreement	subregion_tail_fraction	subregion_stable_from_K	subregion_nK	subregion_nK_total_tested	subregion_nK_usable_for_stability	subregion_maxK_nsnps	country	population	macroregion_3	subregion	is_reference
Bd_2023_1	Asia	Uncertain	too_few_usable_K	11086	1	1	1	1	0.5	5000	3	16	3	687		Uncertain	macroregion_uncertain													Belgium	Belgium	Others	Other	FALSE
Bd_2023_2	Africa	Uncertain	too_few_usable_K	11086	1	1	1	1	0.5	1000	5	16	5	3292		Uncertain	macroregion_uncertain													Belgium	Belgium	Others	Other	FALSE
Bd_2023_3	Asia	Uncertain	too_few_usable_K	11086	1	1	1	1	0.5	1000	5	16	5	2883		Uncertain	macroregion_uncertain													Belgium	Belgium	Others	Other	FALSE
Bd_2023_4	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11079	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11069	Belgium	Belgium	Others	Other	FALSE
Bd_2023_5	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11080	E_Asia	Uncertain	low_global_K_agreement	P3_Asia	11086	1	1	0.833333333333333	1	0.5	1000	6	16	6	11071	Belgium	Belgium	Others	Other	FALSE
Bd_2023_6	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11073	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11074	Belgium	Belgium	Others	Other	FALSE
Bd_2023_7	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11081	E_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	1	1	0.5	1	0.5	5000	6	16	6	10993	Belgium	Belgium	Others	Other	FALSE
Bd_2024_1	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11069	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11060	Belgium	Belgium	Others	Other	FALSE
Bd_2024_2	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11064	E_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	0.999999999980881	0.999999999961762	0.666666666666667	1	0.5	5000	6	16	6	10984	Belgium	Belgium	Others	Other	FALSE
Bd_2024_3	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11075	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11073	Belgium	Belgium	Others	Other	FALSE
Bd_2024_4	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11079	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11076	Belgium	Belgium	Others	Other	FALSE
FAVV_1	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11073	W_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	0.984124827168232	0.968249654336464	0.333333333333333	0.666666666666667	0.5	10000	6	16	6	10993	Belgium	Belgium	Others	Other	FALSE
FAVV_11	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11076	W_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	1	1	0.333333333333333	0.666666666666667	0.5	10000	6	16	6	10998	Belgium	Belgium	Others	Other	FALSE
FAVV_12	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11070	W_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	1	1	0.833333333333333	1	0.5	1000	6	16	6	10982	Belgium	Belgium	Others	Other	FALSE
FAVV_13	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11063	W_Africa	High	ok	P2_Africa	11001	1	1	1	1	0.5	500	6	16	6	10974	Belgium	Belgium	Others	Other	FALSE
