sample_id	top_group	top_prob	second_group	second_prob	prob_gap	n_snps_used	confidence	panel_id	group_col	rep	fold	true_group	correct
ComAnj1	Africa	0.943	Asia	0.057	0.886	11076	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ComGra2	Africa	0.91	Asia	0.09	0.82	11013	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ComGra3	Africa	0.93	Asia	0.07	0.86	11053	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ComMoh1	Africa	0.959	Asia	0.041	0.918	10859	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MadAmb1	Africa	0.967	Asia	0.033	0.934	11045	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MadAmb3	Africa	0.969	Asia	0.031	0.938	11055	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MadMah2	Africa	0.964	Asia	0.036	0.928	11025	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MadMan3	Africa	0.95	Asia	0.05	0.9	10952	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MayDem3	Africa	0.972	Asia	0.028	0.944	11058	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MaySad2	Africa	0.97	Asia	0.03	0.94	11061	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ReuSte3	Asia	0.988	Africa	0.012	0.976	11047	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
BIBJ01	Africa	0.895	Asia	0.105	0.79	10986	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
CIBD01	Africa	0.886	Asia	0.114	0.772	11050	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
CIBD02	Africa	0.852	Asia	0.148	0.704	11057	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ETMS05	Africa	0.903	Asia	0.097	0.806	11070	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
FJZZ02	Asia	0.968	Africa	0.032	0.936	11070	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
GDGZ04	Asia	0.982	Africa	0.018	0.964	11075	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
GHND02	Africa	0.851	Asia	0.149	0.702	11020	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
HBWH03	Asia	0.976	Africa	0.024	0.952	11074	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
HNSY05	Asia	0.961	Africa	0.039	0.922	11064	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
IDJI04	Asia	0.976	Africa	0.024	0.952	11047	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INAS02	Asia	0.928	Africa	0.072	0.856	11064	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INAS04	Asia	0.948	Africa	0.052	0.896	11062	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INBH02	Asia	0.937	Africa	0.063	0.874	11058	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INBH03	Asia	0.957	Africa	0.043	0.914	11068	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INPJ01	Asia	0.944	Africa	0.056	0.888	11038	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INTG03	Asia	0.956	Africa	0.044	0.912	11067	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
INTN03	Asia	0.943	Africa	0.057	0.886	11046	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
JXNC03	Asia	0.968	Africa	0.032	0.936	11072	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
KENB03	Africa	0.922	Asia	0.078	0.844	11069	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
LAVT04	Asia	0.939	Africa	0.061	0.878	11039	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
LKAD04	Asia	0.945	Africa	0.055	0.89	11078	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
MWZB03	Africa	0.956	Asia	0.044	0.912	11028	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
MYKL02	Asia	0.983	Africa	0.017	0.966	11042	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
MYKL03	Asia	0.966	Africa	0.034	0.932	11070	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
MYKL04	Asia	0.957	Africa	0.043	0.914	11067	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
NGNS03	Africa	0.898	Asia	0.102	0.796	10904	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
NPSH07	Asia	0.939	Africa	0.061	0.878	11068	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
PHDM03	Asia	0.989	Africa	0.011	0.978	11050	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
PHDV03	Asia	0.983	Africa	0.017	0.966	11066	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
PHDV05	Asia	0.984	Africa	0.016	0.968	11061	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
PKMR03	Asia	0.907	Africa	0.093	0.814	10978	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
PKMR04	Asia	0.907	Africa	0.093	0.814	11060	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
SCLS01	Asia	0.956	Africa	0.044	0.912	11071	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
SCLS05	Asia	0.972	Africa	0.028	0.944	11054	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
THPK05	Asia	0.976	Africa	0.024	0.952	11073	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
TWPD05	Asia	0.951	Africa	0.049	0.902	10254	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
UGEB02	Africa	0.912	Asia	0.088	0.824	11045	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
VNTG02	Asia	0.944	Africa	0.056	0.888	11070	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
YNBS01	Asia	0.973	Africa	0.027	0.946	11078	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
YNBS02	Asia	0.945	Africa	0.055	0.89	11072	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
YNBS04	Asia	0.964	Africa	0.036	0.928	11075	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
YNJH02	Asia	0.953	Africa	0.047	0.906	10851	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
YNJH03	Asia	0.971	Africa	0.029	0.942	10716	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ZAMP01	Africa	0.918	Asia	0.082	0.836	10990	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ZAMP04	Africa	0.924	Asia	0.076	0.848	11062	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Africa	TRUE
ZJZJ02	Asia	0.977	Africa	0.023	0.954	11063	High	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuPal2	Asia	0.868	Africa	0.132	0.736	11056	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuPal3	Asia	0.896	Africa	0.104	0.792	11058	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuSal3	Asia	0.936	Africa	0.064	0.872	11080	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuAnd1	Asia	0.931	Africa	0.069	0.862	11074	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuAnd2	Asia	0.921	Africa	0.079	0.842	11075	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuBen2	Asia	0.901	Africa	0.099	0.802	11076	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ReuBen4	Asia	0.941	Africa	0.059	0.882	11074	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	1	Asia	TRUE
ComAnj4	Africa	0.91	Asia	0.09	0.82	11071	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
ComMoh5	Africa	0.941	Asia	0.059	0.882	11068	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
MadAmb2	Africa	0.974	Asia	0.026	0.948	10999	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
MadMah4	Africa	0.974	Asia	0.026	0.948	11019	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
MadMan1	Africa	0.975	Asia	0.025	0.95	10999	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
MayDem4	Africa	0.971	Asia	0.029	0.942	11064	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
ReuBas3	Asia	0.956	Africa	0.044	0.912	11064	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
ReuSte1	Asia	0.978	Africa	0.022	0.956	11058	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
ReuSte2	Asia	0.975	Africa	0.025	0.95	11058	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
BDKG01	Asia	0.945	Africa	0.055	0.89	11062	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
BDKG04	Asia	0.977	Africa	0.023	0.954	11071	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
BIBJ05	Africa	0.936	Asia	0.064	0.872	10906	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
CDKB03	Africa	0.886	Asia	0.114	0.772	11041	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
CDKB05	Africa	0.888	Asia	0.112	0.776	11078	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
CIBD03	Africa	0.876	Asia	0.124	0.752	11025	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
CIBD04	Africa	0.789	Asia	0.211	0.578	11043	Low	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
FJZZ04	Asia	0.981	Africa	0.019	0.962	11076	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
GDGZ03	Asia	0.981	Africa	0.019	0.962	11080	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
GHND01	Africa	0.794	Asia	0.206	0.588	11045	Low	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
GXNN05	Asia	0.967	Africa	0.033	0.934	11070	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
GZDY04	Asia	0.98	Africa	0.02	0.96	11078	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
HBWH01	Asia	0.971	Africa	0.029	0.942	11068	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
HNDZ01	Asia	0.973	Africa	0.027	0.946	11076	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
HNLY03	Asia	0.977	Africa	0.023	0.954	11064	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
HNLY05	Asia	0.975	Africa	0.025	0.95	11024	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
HNSY01	Asia	0.973	Africa	0.027	0.946	11071	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
HNSY02	Asia	0.969	Africa	0.031	0.938	11072	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
INAS05	Asia	0.951	Africa	0.049	0.902	11067	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
INPJ02	Asia	0.937	Africa	0.063	0.874	11053	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
INPJ05	Asia	0.947	Africa	0.053	0.894	11057	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
INTG04	Asia	0.928	Africa	0.072	0.856	11067	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
INTN05	Asia	0.943	Africa	0.057	0.886	11078	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
JSZJ02	Asia	0.985	Africa	0.015	0.97	11055	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
JSZJ03	Asia	0.972	Africa	0.028	0.944	11068	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
LAVT01	Asia	0.974	Africa	0.026	0.948	11049	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
MLBM01	Africa	0.846	Asia	0.154	0.692	11072	Low	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
MMYG02	Asia	0.981	Africa	0.019	0.962	10996	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
MMYG04	Asia	0.988	Africa	0.012	0.976	11029	High	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Asia	TRUE
MWZB01	Africa	0.92	Asia	0.08	0.84	11027	Moderate	P1_macroregion_africa_vs_asia	macroregion_3	1	2	Africa	TRUE
