sample_id	top_group	top_prob	second_group	second_prob	prob_gap	n_snps_used	confidence	panel_id	group_col	rep	fold	true_group	correct
ComAnj1	E_Africa	0.68	W_Africa	0.173	0.507	10989	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
ComGra1	E_Africa	0.639	W_Africa	0.194	0.445	10875	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
ComGra3	E_Africa	0.599	W_Africa	0.195	0.404	10971	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
ComMoh4	E_Africa	0.698	W_Africa	0.18	0.518	10923	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
ComMoh5	E_Africa	0.701	W_Africa	0.155	0.546	10979	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
MadMah4	E_Africa	0.83	W_Africa	0.079	0.751	10939	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
MadMan1	E_Africa	0.832	W_Africa	0.071	0.761	10927	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
MadMan3	E_Africa	0.764	W_Africa	0.136	0.628	10869	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
MadMan5	E_Africa	0.776	W_Africa	0.111	0.665	10932	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
MayDem3	E_Africa	0.79	W_Africa	0.119	0.671	10975	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
MaySad3	E_Africa	0.794	W_Africa	0.111	0.683	10977	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
CDKB05	C_Africa	0.428	E_Africa	0.367	0.061	10989	Uncertain	P2_subregion_within_africa	subregion	1	1	C_Africa	TRUE
CIBD01	E_Africa	0.442	W_Africa	0.409	0.033	10970	Uncertain	P2_subregion_within_africa	subregion	1	1	W_Africa	FALSE
ETMS02	E_Africa	0.632	W_Africa	0.192	0.44	10988	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
GHND02	E_Africa	0.448	W_Africa	0.371	0.077	10964	Uncertain	P2_subregion_within_africa	subregion	1	1	W_Africa	FALSE
MLBM05	W_Africa	0.433	E_Africa	0.423	0.01	10914	Uncertain	P2_subregion_within_africa	subregion	1	1	W_Africa	TRUE
MWZB01	E_Africa	0.491	S_Africa	0.299	0.192	10928	Uncertain	P2_subregion_within_africa	subregion	1	1	S_Africa	FALSE
NGNS02	E_Africa	0.553	W_Africa	0.312	0.241	7612	Low	P2_subregion_within_africa	subregion	1	1	W_Africa	FALSE
SDSG05	E_Africa	0.511	W_Africa	0.287	0.224	10842	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
SNBG05	W_Africa	0.505	E_Africa	0.351	0.154	10923	Uncertain	P2_subregion_within_africa	subregion	1	1	W_Africa	TRUE
UGEB02	E_Africa	0.63	W_Africa	0.171	0.459	10971	Low	P2_subregion_within_africa	subregion	1	1	E_Africa	TRUE
ZAMP02	E_Africa	0.485	S_Africa	0.285	0.2	10831	Low	P2_subregion_within_africa	subregion	1	1	S_Africa	FALSE
ComAnj2	E_Africa	0.652	W_Africa	0.173	0.479	10968	Low	P2_subregion_within_africa	subregion	1	2	E_Africa	TRUE
ComAnj3	E_Africa	0.706	W_Africa	0.158	0.548	10969	Low	P2_subregion_within_africa	subregion	1	2	E_Africa	TRUE
ComAnj5	E_Africa	0.699	W_Africa	0.157	0.542	10987	Low	P2_subregion_within_africa	subregion	1	2	E_Africa	TRUE
