sample_id	top_group	top_prob	second_group	second_prob	prob_gap	n_snps_used	confidence	panel_id	group_col	rep	fold	true_group	correct
MauLaS3	SE_Asia	0.886	S_Asia	0.074	0.812	11073	Moderate	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
MauLaS4	SE_Asia	0.836	S_Asia	0.104	0.732	11062	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
ReuBas3	SE_Asia	0.868	S_Asia	0.085	0.783	11074	Moderate	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
BDKG03	S_Asia	0.543	SE_Asia	0.246	0.297	11045	Low	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
FJZZ02	E_Asia	0.876	SE_Asia	0.077	0.799	11068	Moderate	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
FJZZ04	E_Asia	0.84	SE_Asia	0.093	0.747	11070	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
GDGZ02	E_Asia	0.717	SE_Asia	0.154	0.563	11076	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
GDGZ04	E_Asia	0.79	SE_Asia	0.127	0.663	11061	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
GXNN04	E_Asia	0.547	SE_Asia	0.248	0.299	11067	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
GZDY02	E_Asia	0.692	SE_Asia	0.186	0.506	11079	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
HBWH03	E_Asia	0.606	SE_Asia	0.234	0.372	11073	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
HBWH05	E_Asia	0.736	SE_Asia	0.148	0.588	11062	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
HNDZ03	E_Asia	0.539	SE_Asia	0.254	0.285	11067	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
HNSY03	E_Asia	0.658	SE_Asia	0.185	0.473	11019	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
IDJI03	SE_Asia	0.695	E_Asia	0.177	0.518	11051	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
INAS02	S_Asia	0.411	SE_Asia	0.3	0.111	11052	Uncertain	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
INPJ02	S_Asia	0.657	SE_Asia	0.174	0.483	11051	Low	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
INTG01	S_Asia	0.449	SE_Asia	0.304	0.145	11072	Uncertain	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
INTG04	S_Asia	0.437	SE_Asia	0.303	0.134	11063	Uncertain	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
INTN02	S_Asia	0.716	SE_Asia	0.194	0.522	11069	Low	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
INTN03	S_Asia	0.646	E_Asia	0.185	0.461	11041	Low	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
JSZJ05	E_Asia	0.769	SE_Asia	0.133	0.636	11072	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
LAVT02	E_Asia	0.387	SE_Asia	0.383	0.004	11033	Uncertain	P3_subregion_within_asia	subregion	1	1	SE_Asia	FALSE
MMYG05	SE_Asia	0.859	E_Asia	0.076	0.783	11025	Moderate	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
NPSH07	S_Asia	0.554	SE_Asia	0.255	0.299	11064	Low	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
PHDM03	SE_Asia	0.813	E_Asia	0.109	0.704	11040	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
PHDM04	SE_Asia	0.803	S_Asia	0.103	0.7	11014	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
PHDV03	SE_Asia	0.834	E_Asia	0.091	0.743	11059	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
PKMR02	S_Asia	0.699	SE_Asia	0.165	0.534	11074	Low	P3_subregion_within_asia	subregion	1	1	S_Asia	TRUE
SCLS04	E_Asia	0.669	SE_Asia	0.198	0.471	11072	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
THBK04	SE_Asia	0.422	E_Asia	0.399	0.023	11058	Uncertain	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
THPK01	SE_Asia	0.557	E_Asia	0.246	0.311	11074	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
TWTY02	E_Asia	0.846	SE_Asia	0.091	0.755	11059	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
VNTG01	SE_Asia	0.451	E_Asia	0.298	0.153	11075	Uncertain	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
YNJH02	E_Asia	0.784	SE_Asia	0.164	0.62	10812	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
YNJH03	E_Asia	0.764	SE_Asia	0.176	0.588	10674	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
ZJZJ04	E_Asia	0.719	SE_Asia	0.157	0.562	11083	Low	P3_subregion_within_asia	subregion	1	1	E_Asia	TRUE
ReuPal2	SE_Asia	0.829	S_Asia	0.111	0.718	11056	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
ReuPal4	SE_Asia	0.71	S_Asia	0.194	0.516	11009	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
ReuPaL5	SE_Asia	0.848	S_Asia	0.094	0.754	11074	Low	P3_subregion_within_asia	subregion	1	1	SE_Asia	TRUE
