og	file	panel_id	status	error	n_taxa_raw	n_taxa_metadata	n_ref	aln_len	n_sites_scanned	n_sites_biallelic	n_sites_pass	best_score
OG1	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1.fasta	P2_subregion_within_africa	ok		353	351	105	61560	61560	3449	2860	0.653846153846154
OG10	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10.fasta	P2_subregion_within_africa	ok		350	348	105	16179	16179	538	489	0.814432989690722
OG100	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG100.fasta	P2_subregion_within_africa	ok		352	350	105	9435	9435	662	592	0.513513513513514
OG1000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1000.fasta	P2_subregion_within_africa	ok		353	351	105	3891	3891	240	225	0.814432989690722
OG10000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10000.fasta	P2_subregion_within_africa	ok		351	349	105	474	474	12	11	0.276381909547739
OG10001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10001.fasta	P2_subregion_within_africa	ok		352	350	105	654	654	55	48	0.408450704225352
OG10002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10002.fasta	P2_subregion_within_africa	ok		352	350	105	636	636	25	23	0.0952018278750952
OG10003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10003.fasta	P2_subregion_within_africa	ok		353	351	105	492	492	12	11	0.29250313745073
OG10004	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10004.fasta	P2_subregion_within_africa	ok		353	351	105	477	477	25	23	0.405214032829096
OG10005	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10005.fasta	P2_subregion_within_africa	ok		354	352	105	669	669	64	59	0.505882352941176
OG10006	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10006.fasta	P2_subregion_within_africa	ok		351	349	105	444	444	7	6	0.0633608815426997
OG10007	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10007.fasta	P2_subregion_within_africa	ok		349	347	105	456	456	8	5	0.144218047102408
OG10008	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10008.fasta	P2_subregion_within_africa	ok		351	349	104	516	516	44	41	0.199957825926512
OG10009	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10009.fasta	P2_subregion_within_africa	ok		350	348	105	486	486	37	34	0.220253164556962
OG1001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1001.fasta	P2_subregion_within_africa	ok		351	349	105	4110	4110	186	142	0.28
OG10010	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10010.fasta	P2_subregion_within_africa	ok		354	352	105	819	819	25	21	0.814432989690722
OG10011	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10011.fasta	P2_subregion_within_africa	ok		354	352	105	681	681	63	37	0.142857142857143
OG10012	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10012.fasta	P2_subregion_within_africa	ok		351	349	105	459	459	43	34	0.513513513513514
OG10013	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10013.fasta	P2_subregion_within_africa	ok		353	351	105	603	603	133	109	0.205878348030558
OG10014	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10014.fasta	P2_subregion_within_africa	ok		353	351	105	447	447	13	13	0.204339081931474
OG10015	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10015.fasta	P2_subregion_within_africa	ok		352	350	105	495	495	20	20	0.389830508474576
OG10016	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10016.fasta	P2_subregion_within_africa	ok		350	348	105	588	588	74	63	0.333333333333333
OG10017	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10017.fasta	P2_subregion_within_africa	no_snp_pass		350	348	105	501	501	1	0	
OG10018	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10018.fasta	P2_subregion_within_africa	ok		351	349	105	426	426	20	15	0.181818181818182
OG10019	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10019.fasta	P2_subregion_within_africa	ok		352	350	105	528	528	35	30	0.253263707571802
OG1002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1002.fasta	P2_subregion_within_africa	ok		352	350	105	3816	3816	82	67	0.653846153846154
OG10020	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10020.fasta	P2_subregion_within_africa	ok		351	349	105	480	480	13	12	0.181818181818182
OG10021	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10021.fasta	P2_subregion_within_africa	ok		354	352	105	699	699	15	7	0.28
OG10022	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10022.fasta	P2_subregion_within_africa	ok		348	346	104	444	444	24	21	0.229901269393512
OG10023	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10023.fasta	P2_subregion_within_africa	ok		349	347	105	441	441	6	2	0
OG10024	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10024.fasta	P2_subregion_within_africa	ok		351	349	105	528	528	29	28	0.28
OG10025	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10025.fasta	P2_subregion_within_africa	ok		352	350	105	444	444	21	17	0.231904626738575
OG10026	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10026.fasta	P2_subregion_within_africa	ok		354	352	105	606	606	11	10	0.216284987277354
OG10027	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10027.fasta	P2_subregion_within_africa	ok		350	348	105	591	591	46	36	0.205204021289178
OG10028	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10028.fasta	P2_subregion_within_africa	ok		351	349	105	426	426	6	6	0.376770538243626
OG10029	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10029.fasta	P2_subregion_within_africa	ok		353	351	105	627	627	57	45	0.216284987277354
OG1003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1003.fasta	P2_subregion_within_africa	ok		351	349	105	3861	3861	105	76	0.465594075940187
OG10030	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10030.fasta	P2_subregion_within_africa	ok		353	351	105	447	447	5	5	0.114322580645161
OG10031	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10031.fasta	P2_subregion_within_africa	ok		350	348	105	486	486	22	19	0.181818181818182
OG10032	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10032.fasta	P2_subregion_within_africa	ok		351	349	105	441	441	23	23	0.28
OG10033	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10033.fasta	P2_subregion_within_africa	ok		351	349	105	528	528	108	89	0.389830508474576
OG10034	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10034.fasta	P2_subregion_within_africa	ok		351	349	105	450	450	5	4	0.0854503464203233
OG10035	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10035.fasta	P2_subregion_within_africa	ok		349	347	105	459	459	5	2	0
OG10036	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10036.fasta	P2_subregion_within_africa	ok		351	349	105	546	546	19	10	0.181818181818182
OG10037	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10037.fasta	P2_subregion_within_africa	ok		350	348	105	432	432	8	6	0.28
OG10038	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10038.fasta	P2_subregion_within_africa	ok		351	349	105	477	477	11	11	0.181141439205955
OG10039	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10039.fasta	P2_subregion_within_africa	ok		351	349	105	432	432	4	4	0.076923076923077
