og	file	panel_id	status	error	n_taxa_raw	n_taxa_metadata	n_ref	aln_len	n_sites_scanned	n_sites_biallelic	n_sites_pass	best_score
OG1	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1.fasta	P1_macroregion_africa_vs_asia	ok		353	351	320	61560	61560	11382	6808	0.36213368548191
OG10	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10.fasta	P1_macroregion_africa_vs_asia	ok		350	348	318	16179	16179	2101	1391	0.370148791669283
OG100	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG100.fasta	P1_macroregion_africa_vs_asia	ok		352	350	319	9435	9435	2389	1446	0.568271473392601
OG1000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1000.fasta	P1_macroregion_africa_vs_asia	ok		353	351	320	3891	3891	734	447	0.37912313897578
OG10000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10000.fasta	P1_macroregion_africa_vs_asia	ok		351	349	318	474	474	58	36	0.0843798623378843
OG10001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10001.fasta	P1_macroregion_africa_vs_asia	ok		352	350	320	654	654	167	121	0.142884496374975
OG10002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10002.fasta	P1_macroregion_africa_vs_asia	ok		352	350	320	636	636	110	78	0.111602024649006
OG10003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10003.fasta	P1_macroregion_africa_vs_asia	ok		353	351	320	492	492	87	54	0.111163205937616
OG10004	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10004.fasta	P1_macroregion_africa_vs_asia	ok		353	351	319	477	477	98	53	0.158524892677138
OG10005	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10005.fasta	P1_macroregion_africa_vs_asia	ok		354	352	320	669	669	240	156	0.521774074178015
