og	file	ntax_header	nsites_header	n_labels	n_labels_in_metadata	n_labels_not_in_metadata	n_labels_not_in_metadata_unexpected	n_metadata_missing_from_og	status	error
OG1	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1.fa	353	61560	353	351	2	0	1	OK	
OG10	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10.fa	350	16179	350	348	2	0	4	OK	
OG100	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG100.fa	352	9435	352	350	2	0	2	OK	
OG1000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1000.fa	353	3891	353	351	2	0	1	OK	
OG10000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10000.fa	351	474	351	349	2	0	3	OK	
OG10001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10001.fa	352	654	352	350	2	0	2	OK	
OG10002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10002.fa	352	636	352	350	2	0	2	OK	
OG10003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10003.fa	353	492	353	351	2	0	1	OK	
OG10004	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10004.fa	353	477	353	351	2	0	1	OK	
OG10005	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10005.fa	354	669	354	352	2	0	0	OK	
OG10006	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10006.fa	351	444	351	349	2	0	3	OK	
OG10007	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10007.fa	349	456	349	347	2	0	5	OK	
OG10008	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10008.fa	351	516	351	349	2	0	3	OK	
OG10009	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10009.fa	350	486	350	348	2	0	4	OK	
OG1001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1001.fa	351	4110	351	349	2	0	3	OK	
OG10010	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10010.fa	354	819	354	352	2	0	0	OK	
OG10011	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10011.fa	354	681	354	352	2	0	0	OK	
OG10012	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10012.fa	351	459	351	349	2	0	3	OK	
OG10013	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10013.fa	353	603	353	351	2	0	1	OK	
OG10014	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10014.fa	353	447	353	351	2	0	1	OK	
OG10015	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10015.fa	352	495	352	350	2	0	2	OK	
OG10016	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10016.fa	350	588	350	348	2	0	4	OK	
OG10017	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10017.fa	350	501	350	348	2	0	4	OK	
OG10018	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10018.fa	351	426	351	349	2	0	3	OK	
OG10019	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10019.fa	352	528	352	350	2	0	2	OK	
OG1002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1002.fa	352	3816	352	350	2	0	2	OK	
OG10020	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10020.fa	351	480	351	349	2	0	3	OK	
OG10021	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10021.fa	354	699	354	352	2	0	0	OK	
OG10022	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10022.fa	348	444	348	346	2	0	6	OK	
OG10023	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10023.fa	349	441	349	347	2	0	5	OK	
OG10024	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10024.fa	351	528	351	349	2	0	3	OK	
OG10025	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10025.fa	352	444	352	350	2	0	2	OK	
OG10026	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10026.fa	354	606	354	352	2	0	0	OK	
OG10027	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10027.fa	350	591	350	348	2	0	4	OK	
OG10028	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10028.fa	351	426	351	349	2	0	3	OK	
OG10029	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10029.fa	353	627	353	351	2	0	1	OK	
OG1003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1003.fa	351	3861	351	349	2	0	3	OK	
OG10030	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10030.fa	353	447	353	351	2	0	1	OK	
OG10031	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10031.fa	350	486	350	348	2	0	4	OK	
OG10032	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10032.fa	351	441	351	349	2	0	3	OK	
OG10033	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10033.fa	351	528	351	349	2	0	3	OK	
OG10034	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10034.fa	351	450	351	349	2	0	3	OK	
OG10035	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10035.fa	349	459	349	347	2	0	5	OK	
OG10036	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10036.fa	351	546	351	349	2	0	3	OK	
OG10037	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10037.fa	350	432	350	348	2	0	4	OK	
OG10038	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10038.fa	351	477	351	349	2	0	3	OK	
OG10039	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10039.fa	351	432	351	349	2	0	3	OK	
OG1004	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1004.fa	349	3645	349	347	2	0	5	OK	
OG10040	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10040.fa	351	516	351	349	2	0	3	OK	
OG10041	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10041.fa	351	711	351	349	2	0	3	OK	
OG10042	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10042.fa	353	549	353	351	2	0	1	OK	
OG10043	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10043.fa	351	450	351	349	2	0	3	OK	
OG10044	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10044.fa	351	588	351	349	2	0	3	OK	
