og	file	panel_id	status	error	n_taxa_raw	n_taxa_metadata	n_ref	aln_len	n_sites_scanned	n_sites_biallelic	n_sites_pass	best_score
OG1	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1.fasta	P3_subregion_within_asia	ok		353	351	215	61560	61560	11033	6512	0.173638228542181
OG10	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10.fasta	P3_subregion_within_asia	ok		350	348	213	16179	16179	2055	1364	0.0933840318941122
OG100	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG100.fasta	P3_subregion_within_asia	ok		352	350	214	9435	9435	2379	1429	0.165403063592759
OG1000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1000.fasta	P3_subregion_within_asia	ok		353	351	215	3891	3891	726	440	0.102763570461487
OG10000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10000.fasta	P3_subregion_within_asia	ok		351	349	213	474	474	56	35	0.0767245088197333
OG10001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10001.fasta	P3_subregion_within_asia	ok		352	350	215	654	654	178	122	0.096406160867085
OG10002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10002.fasta	P3_subregion_within_asia	ok		352	350	215	636	636	107	75	0.0915827828833184
OG10003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10003.fasta	P3_subregion_within_asia	ok		353	351	215	492	492	84	52	0.0366265711582646
OG10004	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10004.fasta	P3_subregion_within_asia	ok		353	351	214	477	477	96	51	0.0558459422283356
OG10005	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10005.fasta	P3_subregion_within_asia	ok		354	352	215	669	669	236	151	0.0707067221408891
OG10006	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10006.fasta	P3_subregion_within_asia	ok		351	349	213	444	444	48	24	0.0565453137103021
OG10007	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10007.fasta	P3_subregion_within_asia	ok		349	347	213	456	456	40	18	0.0136570561456753
OG10008	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10008.fasta	P3_subregion_within_asia	ok		351	349	214	516	516	164	103	0.0699166132135985
OG10009	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10009.fasta	P3_subregion_within_asia	ok		350	348	213	486	486	75	56	0.0717536278259773
OG1001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1001.fasta	P3_subregion_within_asia	ok		351	349	213	4110	4110	718	437	0.0847006651884701
OG10010	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10010.fasta	P3_subregion_within_asia	ok		354	352	215	819	819	41	29	0.0426336214198497
OG10011	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10011.fasta	P3_subregion_within_asia	ok		354	352	215	681	681	101	66	0.0413231051272052
OG10012	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10012.fasta	P3_subregion_within_asia	ok		351	349	213	459	459	115	72	0.0689499836757205
OG10013	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10013.fasta	P3_subregion_within_asia	ok		353	351	214	603	603	162	106	0.0809677501334215
OG10014	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10014.fasta	P3_subregion_within_asia	ok		353	351	215	447	447	45	25	0.19666930226898
OG10015	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10015.fasta	P3_subregion_within_asia	ok		352	350	214	495	495	68	41	0.107245567814121
