og	file	status	fail_reason	n_taxa	n_metadata_taxa	aln_len	mean_nonmissing_frac	mean_ambig_frac	n_pops_total	n_pops_passing_occupancy	frac_pops_passing_occupancy
OG1	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1.fasta	PASS		353	351	61560	0.948854289887428	0	36	36	1
OG10	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10.fasta	PASS		350	348	16179	0.995374129796465	0	36	36	1
OG100	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG100.fasta	PASS		352	350	9435	0.987615110909229	0	36	36	1
OG1000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1000.fasta	PASS		353	351	3891	0.98016168512185	0	36	35	0.972222222222222
OG10000	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10000.fasta	PASS		351	349	474	0.993743426063618	0	36	35	0.972222222222222
OG10001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10001.fasta	PASS		352	350	654	0.891293141109655	0	36	36	1
OG10002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10002.fasta	PASS		352	350	636	0.986958670260557	0	36	35	0.972222222222222
OG10003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10003.fasta	PASS		353	351	492	0.985922914784703	0	36	36	1
OG10004	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10004.fasta	PASS		353	351	477	0.993877928888411	0	36	36	1
OG10005	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10005.fasta	PASS		354	352	669	0.960125356706074	0	36	36	1
OG10006	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10006.fasta	PASS		351	349	444	0.993895041172978	0	36	36	1
OG10007	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10007.fasta	PASS		349	347	456	0.996637848222863	0	36	35	0.972222222222222
OG10008	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10008.fasta	PASS		351	349	516	0.983157859665489	0	36	36	1
OG10009	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10009.fasta	PASS		350	348	486	0.994649023225013	0	36	36	1
OG1001	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1001.fasta	PASS		351	349	4110	0.992803212515425	0	36	36	1
OG10010	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10010.fasta	PASS		354	352	819	0.981684981684982	0	36	36	1
OG10011	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10011.fasta	PASS		354	352	681	0.943281938325991	0	36	36	1
OG10012	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10012.fasta	PASS		351	349	459	0.965459982146313	0	36	36	1
OG10013	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10013.fasta	PASS		353	351	603	0.924688050724535	0	36	36	1
OG10014	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10014.fasta	PASS		353	351	447	0.991019586097886	0	36	36	1
OG10015	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10015.fasta	PASS		352	350	495	0.932340548340548	0	36	36	1
OG10016	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10016.fasta	PASS		350	348	588	0.982289467511142	0	36	35	0.972222222222222
OG10017	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10017.fasta	PASS		350	348	501	0.994935416523275	0	36	36	1
OG10018	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10018.fasta	PASS		351	349	426	0.993004829358193	0	36	36	1
OG10019	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10019.fasta	PASS		352	350	528	0.972494588744589	0	36	36	1
OG1002	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1002.fasta	PASS		352	350	3816	0.993364779874214	0	36	36	1
OG10020	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10020.fasta	PASS		351	349	480	0.994102196752627	0	36	36	1
OG10021	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10021.fasta	PASS		354	352	699	0.972326537911302	0	36	36	1
OG10022	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10022.fasta	PASS		348	346	444	0.9965304900276	0	36	36	1
OG10023	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10023.fasta	PASS		349	347	441	0.997889261372176	0	36	36	1
OG10024	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10024.fasta	PASS		351	349	528	0.992467656507771	0	36	36	1
OG10025	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10025.fasta	PASS		352	350	444	0.992709137709138	0	36	36	1
OG10026	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10026.fasta	PASS		354	352	606	0.99501200120012	0	36	36	1
OG10027	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10027.fasta	PASS		350	348	591	0.992201023007954	0	36	36	1
OG10028	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10028.fasta	PASS		351	349	426	0.951766953199618	0	36	36	1
OG10029	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10029.fasta	PASS		353	351	627	0.952657478973268	0	36	36	1
OG1003	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG1003.fasta	PASS		351	349	3861	0.986106009028645	0	36	36	1
OG10030	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10030.fasta	PASS		353	351	447	0.983160927232516	0	36	36	1
OG10031	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10031.fasta	PASS		350	348	486	0.983882030178327	0	36	36	1
OG10032	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10032.fasta	PASS		351	349	441	0.993320728482415	0	36	36	1
OG10033	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/00_fasta/OG10033.fasta	PASS		351	349	528	0.923162498914648	0	36	36	1
